victims,date,type_of_attack,location,notes,name,age,sex,country
"Zinaida Kozlovskaya, adult, female","November 22, 2019",Rabid,"Syanno, Senno District, Vitebsk Region,  Belarus",A wolf bit a woman in the evening.,adult,adult,NA,  Belarus
"Zinaida Kozlovskaya, adult, female","November 22, 2019",Rabid,"Syanno, Senno District, Vitebsk Region,  Belarus",A wolf bit a woman in the evening.,female,NA,female,  Belarus
"Petr Grishchenko and Sergei Budnik, adult males","October 24, 2019",Unknown,"Ruchaevka Village, Loevsky District, Gomel Region, Belarus","A wolf attacked a man on his porch, then later attacked another villager.",Petr Grishchenko,NA,NA,Belarus
"Petr Grishchenko and Sergei Budnik, adult males","October 24, 2019",Unknown,"Ruchaevka Village, Loevsky District, Gomel Region, Belarus","A wolf attacked a man on his porch, then later attacked another villager.",Sergei Budnik,NA,NA,Belarus
"Petr Grishchenko and Sergei Budnik, adult males","October 24, 2019",Unknown,"Ruchaevka Village, Loevsky District, Gomel Region, Belarus","A wolf attacked a man on his porch, then later attacked another villager.",adult males,adult,male,Belarus
"Four adults, three males and a female","October 7, 2019",Unknown,"Kayasula Village, Neftekumsky District, Stavropol Territory, Russia","A series of attacks over two days, in which four villagers were injured by three wolves.",Four adults,adult,NA,Russia
"Four adults, three males and a female","October 7, 2019",Unknown,"Kayasula Village, Neftekumsky District, Stavropol Territory, Russia","A series of attacks over two days, in which four villagers were injured by three wolves.",three males,NA,male,Russia
"Four adults, three males and a female","October 7, 2019",Unknown,"Kayasula Village, Neftekumsky District, Stavropol Territory, Russia","A series of attacks over two days, in which four villagers were injured by three wolves.",a female,NA,female,Russia
"Three adult residents, two males and a female","September 14, 2019",Rabid,"Perevalnoye and Privolnoye Villages, Simferopol District, Ukraine","A wolf attacked a dog and its owner in a private courtyard, then later bit two men at a forest stream.",Three adult residents,adult,NA,Ukraine
"Three adult residents, two males and a female","September 14, 2019",Rabid,"Perevalnoye and Privolnoye Villages, Simferopol District, Ukraine","A wolf attacked a dog and its owner in a private courtyard, then later bit two men at a forest stream.",two males,NA,male,Ukraine
"Three adult residents, two males and a female","September 14, 2019",Rabid,"Perevalnoye and Privolnoye Villages, Simferopol District, Ukraine","A wolf attacked a dog and its owner in a private courtyard, then later bit two men at a forest stream.",a female,NA,female,Ukraine
"Matthew Rispoli, adult, male","August 9, 2019",Predatory,"Rampart Creek Campground, Banff National Park, Alberta, Canada",An emaciated wolf bit a man while attempting to drag him from his tent.,Matthew Rispoli,NA,NA,Canada
"Matthew Rispoli, adult, male","August 9, 2019",Predatory,"Rampart Creek Campground, Banff National Park, Alberta, Canada",An emaciated wolf bit a man while attempting to drag him from his tent.,adult,adult,NA,Canada
"Matthew Rispoli, adult, male","August 9, 2019",Predatory,"Rampart Creek Campground, Banff National Park, Alberta, Canada",An emaciated wolf bit a man while attempting to drag him from his tent.,male,NA,male,Canada
"Sonya Chernigova, 14, female","August 4, 2019",Predatory,"Yodva Village, Udorsky District, Komi Republic, Russia",An old wolf fatally mauled a girl in the evening.,Sonya Chernigova,NA,NA,Russia
"Sonya Chernigova, 14, female","August 4, 2019",Predatory,"Yodva Village, Udorsky District, Komi Republic, Russia",An old wolf fatally mauled a girl in the evening.,NA,NA,NA,Russia
"Sonya Chernigova, 14, female","August 4, 2019",Predatory,"Yodva Village, Udorsky District, Komi Republic, Russia",An old wolf fatally mauled a girl in the evening.,female,NA,female,Russia
"Kaje Napira, adult, female","July 24, 2019",Unprovoked,"Tahko Village, Hiiumaa, West Estonian Archipelago, Estonia",A wolf followed a woman's dog into her residence and bit her.,Kaje Napira,NA,NA,Estonia
"Kaje Napira, adult, female","July 24, 2019",Unprovoked,"Tahko Village, Hiiumaa, West Estonian Archipelago, Estonia",A wolf followed a woman's dog into her residence and bit her.,adult,adult,NA,Estonia
"Kaje Napira, adult, female","July 24, 2019",Unprovoked,"Tahko Village, Hiiumaa, West Estonian Archipelago, Estonia",A wolf followed a woman's dog into her residence and bit her.,female,NA,female,Estonia
Fifteen people,"June 28, 2019",Unknown,"Kupwara District, Jammu and Kashmir, India.","Over a week, at least four wolves attacked and injured at least 15 persons.",Fifteen people,NA,NA,India.
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",Ibrahim Islamov,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",NA,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",male,NA,male,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",Mahira Mammadov,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",NA,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",female,NA,female,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",Namig Bakirov,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",NA,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",male,NA,male,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",Tural Mammadnabili,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",NA,NA,NA,Azerbaijan
"Ibrahim Islamov, 57, maleMahira Mammadov, 57, femaleNamig Bakirov, 15, maleTural Mammadnabili, 15, male","June 28, 2019",Unknown,"Khachmaz Village, Oghuz Rayon, Azerbaijan","Following a series of attacks on animals, a wolf injured four villagers.",male,NA,male,Azerbaijan
"Arlind Suma, 5, male","June 25, 2019",Predatory,"Dimcë Village, Han i Elezit Municipality, Ferizaj District, Republic of Kosovo",A wolf severely injured a boy while attempting to drag him away.,Arlind Suma,NA,NA,Republic of Kosovo
"Arlind Suma, 5, male","June 25, 2019",Predatory,"Dimcë Village, Han i Elezit Municipality, Ferizaj District, Republic of Kosovo",A wolf severely injured a boy while attempting to drag him away.,NA,NA,NA,Republic of Kosovo
"Arlind Suma, 5, male","June 25, 2019",Predatory,"Dimcë Village, Han i Elezit Municipality, Ferizaj District, Republic of Kosovo",A wolf severely injured a boy while attempting to drag him away.,male,NA,male,Republic of Kosovo
"Unknown, 4, female","June 16, 2019",Predatory,"Zinel Village, Bijar County, Kurdistan Province, Iran.","According to the Bijar Environmental Protection Agency chief, a wolf killed a girl whose body was located some[clarification needed] kilometers away.",Unknown,NA,NA,Iran.
"Unknown, 4, female","June 16, 2019",Predatory,"Zinel Village, Bijar County, Kurdistan Province, Iran.","According to the Bijar Environmental Protection Agency chief, a wolf killed a girl whose body was located some[clarification needed] kilometers away.",NA,NA,NA,Iran.
"Unknown, 4, female","June 16, 2019",Predatory,"Zinel Village, Bijar County, Kurdistan Province, Iran.","According to the Bijar Environmental Protection Agency chief, a wolf killed a girl whose body was located some[clarification needed] kilometers away.",female,NA,female,Iran.
"Tariel Mikeladze, 24, male, and two women","March 19, 2019",Unknown,"Chivisubani Village, Tsalka District, Kvemo Kartli Province, Georgia","A wolf attacked a woman in a yard, injuring her and two villagers who came to help.",Tariel Mikeladze,NA,NA,Georgia
"Tariel Mikeladze, 24, male, and two women","March 19, 2019",Unknown,"Chivisubani Village, Tsalka District, Kvemo Kartli Province, Georgia","A wolf attacked a woman in a yard, injuring her and two villagers who came to help.",NA,NA,NA,Georgia
"Tariel Mikeladze, 24, male, and two women","March 19, 2019",Unknown,"Chivisubani Village, Tsalka District, Kvemo Kartli Province, Georgia","A wolf attacked a woman in a yard, injuring her and two villagers who came to help.",male,NA,male,Georgia
"Tariel Mikeladze, 24, male, and two women","March 19, 2019",Unknown,"Chivisubani Village, Tsalka District, Kvemo Kartli Province, Georgia","A wolf attacked a woman in a yard, injuring her and two villagers who came to help.",two women,NA,NA,Georgia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",Sergei Merzlyakov,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",NA,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",male,NA,male,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",Sergei Solovyov,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",NA,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",male,NA,male,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",Alex Pyak,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",NA,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",male,NA,male,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",Ksenia Marco,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",NA,NA,NA,Russia
"Sergei Merzlyakov, 61, maleSergei Solovyov, 54, maleAlex Pyak, 43, maleKsenia Marco, 33, female","March 12, 2019",Rabid,"Nizhnyaya Ilinovka Village, Mikhaylovsky District, Amur Oblast, Russia","Two wolves attacked, causing bite injuries to four villagers.",female,NA,female,Russia
"Amalbegim Tashrifbekova, 83, femaleMastibegim Davandova, 55, female","March 7, 2019",Unprovoked,"Mdenkhor Village, Gorno-Badakhshan Autonomous Region, Tajikistan",Two women were killed by a wolf pack in their yard.,Amalbegim Tashrifbekova,NA,NA,Tajikistan
"Amalbegim Tashrifbekova, 83, femaleMastibegim Davandova, 55, female","March 7, 2019",Unprovoked,"Mdenkhor Village, Gorno-Badakhshan Autonomous Region, Tajikistan",Two women were killed by a wolf pack in their yard.,NA,NA,NA,Tajikistan
"Amalbegim Tashrifbekova, 83, femaleMastibegim Davandova, 55, female","March 7, 2019",Unprovoked,"Mdenkhor Village, Gorno-Badakhshan Autonomous Region, Tajikistan",Two women were killed by a wolf pack in their yard.,female,NA,female,Tajikistan
"Amalbegim Tashrifbekova, 83, femaleMastibegim Davandova, 55, female","March 7, 2019",Unprovoked,"Mdenkhor Village, Gorno-Badakhshan Autonomous Region, Tajikistan",Two women were killed by a wolf pack in their yard.,Mastibegim Davandova,NA,NA,Tajikistan
"Amalbegim Tashrifbekova, 83, femaleMastibegim Davandova, 55, female","March 7, 2019",Unprovoked,"Mdenkhor Village, Gorno-Badakhshan Autonomous Region, Tajikistan",Two women were killed by a wolf pack in their yard.,NA,NA,NA,Tajikistan
"Amalbegim Tashrifbekova, 83, femaleMastibegim Davandova, 55, female","March 7, 2019",Unprovoked,"Mdenkhor Village, Gorno-Badakhshan Autonomous Region, Tajikistan",Two women were killed by a wolf pack in their yard.,female,NA,female,Tajikistan
"Three people: an adult man and woman and a girl, 12","March 5, 2019",Unprovoked,"Ashutasty Village, Kostanay Region, Kazakhstan",A wolf attacked and injured three people.,Three people,adult,NA,Kazakhstan
"Three people: an adult man and woman and a girl, 12","March 5, 2019",Unprovoked,"Ashutasty Village, Kostanay Region, Kazakhstan",A wolf attacked and injured three people.,woman,NA,NA,Kazakhstan
"Three people: an adult man and woman and a girl, 12","March 5, 2019",Unprovoked,"Ashutasty Village, Kostanay Region, Kazakhstan",A wolf attacked and injured three people.,a girl,NA,NA,Kazakhstan
"Three people: an adult man and woman and a girl, 12","March 5, 2019",Unprovoked,"Ashutasty Village, Kostanay Region, Kazakhstan",A wolf attacked and injured three people.,NA,NA,NA,Kazakhstan
"Resident, adult male","February 21, 2019",Rabid,"Terebovlia District, Ternopil Region, Ukraine",A wolf attacked a dog owner following a series of attacks on dogs.,Resident,NA,NA,Ukraine
"Resident, adult male","February 21, 2019",Rabid,"Terebovlia District, Ternopil Region, Ukraine",A wolf attacked a dog owner following a series of attacks on dogs.,adult male,adult,male,Ukraine
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,A,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,adult male,adult,male,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,Eisha,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,adult female,adult,female,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,Rania Youssef Abdullah,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,NA,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,female,NA,female,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,Essam Jaafar,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,NA,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,male,NA,male,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,Mahmoud Atta Fakhry,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,NA,NA,NA,Egypt
"A. J. Khafir Nizami, adult maleEisha, adult femaleRania Youssef Abdullah, 7, femaleEssam Jaafar, 6, maleMahmoud Atta Fakhry, 4, male","February 21, 2019",Unprovoked,"Agricultural Area, Nag Hammadi City, Qena Governorate, Upper Egypt, Egypt",Five members of a family were injured in a wolf attack.,male,NA,male,Egypt
Eight adults: five men and three women,"February 14, 2019",Predatory,"Shimuldanga, Phukuria, Nedabohora, Jarulia Villages, Jhargram district, West Bengal, India",Several people were injured by a wolf.,Eight adults,adult,NA,India
Eight adults: five men and three women,"February 14, 2019",Predatory,"Shimuldanga, Phukuria, Nedabohora, Jarulia Villages, Jhargram district, West Bengal, India",Several people were injured by a wolf.,three women,NA,NA,India
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults","January 26, 2019",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people.,Luda Vasilyevich,NA,NA,Belarus
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults","January 26, 2019",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people.,NA,NA,NA,Belarus
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults","January 26, 2019",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people.,female,NA,female,Belarus
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults","January 26, 2019",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people.,Dmitry,NA,NA,Belarus
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults","January 26, 2019",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people.,NA,NA,NA,Belarus
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults","January 26, 2019",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people.,male,NA,male,Belarus
"Luda Vasilyevich, 54, female; Dmitry, 34, male, two other adults","January 26, 2019",Rabid,"Sloboda Village, Stowbtsy District, Minsk Region, Belarus",Two adults were attacked while returning to their homes in the evening; the wolf was chased away and attacked two other people.,two other adults,adult,NA,Belarus
"Prashant, 4, maleJaswant, 2, male","January 24, 2019",Predatory,"Kashipur Village, Sambhal District, Uttar Pradesh, India","While playing in a field, two boys were seriously injured and dragged by wolves until rescued by farmers.",Prashant,NA,NA,India
"Prashant, 4, maleJaswant, 2, male","January 24, 2019",Predatory,"Kashipur Village, Sambhal District, Uttar Pradesh, India","While playing in a field, two boys were seriously injured and dragged by wolves until rescued by farmers.",NA,NA,NA,India
"Prashant, 4, maleJaswant, 2, male","January 24, 2019",Predatory,"Kashipur Village, Sambhal District, Uttar Pradesh, India","While playing in a field, two boys were seriously injured and dragged by wolves until rescued by farmers.",male,NA,male,India
"Prashant, 4, maleJaswant, 2, male","January 24, 2019",Predatory,"Kashipur Village, Sambhal District, Uttar Pradesh, India","While playing in a field, two boys were seriously injured and dragged by wolves until rescued by farmers.",Jaswant,NA,NA,India
"Prashant, 4, maleJaswant, 2, male","January 24, 2019",Predatory,"Kashipur Village, Sambhal District, Uttar Pradesh, India","While playing in a field, two boys were seriously injured and dragged by wolves until rescued by farmers.",NA,NA,NA,India
"Prashant, 4, maleJaswant, 2, male","January 24, 2019",Predatory,"Kashipur Village, Sambhal District, Uttar Pradesh, India","While playing in a field, two boys were seriously injured and dragged by wolves until rescued by farmers.",male,NA,male,India
"Anita, 7, female","January 22, 2019",Predatory,"Alipur Village, Sambhal district,  Uttar Pradesh, India","A girl was dragged away and killed, with only her skull recovered.",Anita,NA,NA,India
"Anita, 7, female","January 22, 2019",Predatory,"Alipur Village, Sambhal district,  Uttar Pradesh, India","A girl was dragged away and killed, with only her skull recovered.",NA,NA,NA,India
"Anita, 7, female","January 22, 2019",Predatory,"Alipur Village, Sambhal district,  Uttar Pradesh, India","A girl was dragged away and killed, with only her skull recovered.",female,NA,female,India
